,val,x,y
0,0.8343137254901959,0,0
1,0.8343137254901959,1,0
2,0.8352941176470582,2,0
3,0.8343137254901959,3,0
4,0.8352941176470593,4,0
5,0.85,5,0
6,0.85,6,0
7,0.85,7,0
8,0.85,8,0
9,0.85,9,0
10,0.85,10,0
11,0.85,11,0
12,0.85,12,0
13,0.85,13,0
14,0.839215686274508,14,0
15,0.85,15,0
16,0.85,16,0
17,0.85,17,0
18,0.85,18,0
19,0.85,19,0
20,0.85,20,0
21,0.85,21,0
22,0.85,22,0
23,0.85,23,0
24,0.85,24,0
25,0.85,25,0
26,0.85,26,0
27,0.85,27,0
28,0.85,28,0
29,0.85,29,0
30,0.85,30,0
31,0.85,31,0
32,0.85,32,0
33,0.85,33,0
34,0.85,34,0
35,0.85,35,0
36,0.85,36,0
37,0.85,37,0
38,0.85,38,0
39,0.85,39,0
40,0.85,40,0
41,0.85,41,0
42,0.85,42,0
43,0.85,43,0
44,0.85,44,0
45,0.85,45,0
46,0.85,46,0
47,0.85,47,0
48,0.85,48,0
49,0.85,49,0
50,0.85,50,0
51,0.85,51,0
52,0.85,52,0
53,0.85,53,0
54,0.85,54,0
55,0.85,55,0
56,0.85,56,0
57,0.85,57,0
58,0.85,58,0
59,0.85,59,0
60,0.85,60,0
61,0.85,61,0
62,0.85,62,0
63,0.85,63,0
64,0.85,64,0
65,0.85,65,0
66,0.85,66,0
67,0.85,67,0
68,0.85,68,0
69,0.85,69,0
70,0.85,70,0
71,0.85,71,0
72,0.85,72,0
73,0.85,73,0
74,0.85,74,0
75,0.85,75,0
76,0.85,76,0
77,0.85,77,0
78,0.85,78,0
79,0.85,79,0
80,0.85,80,0
81,0.85,81,0
82,0.85,82,0
83,0.85,83,0
84,0.85,84,0
85,0.85,85,0
86,0.85,86,0
87,0.85,87,0
88,0.85,88,0
89,0.85,89,0
90,0.85,90,0
91,0.8490196078431372,91,0
92,0.8392156862745089,92,0
93,0.85,93,0
94,0.85,94,0
95,0.85,95,0
96,0.85,96,0
97,0.85,97,0
98,0.85,98,0
99,0.85,99,0
100,0.85,100,0
101,0.85,101,0
102,0.85,102,0
103,0.85,103,0
104,0.85,104,0
105,0.85,105,0
106,0.85,106,0
107,0.8441176470588234,107,0
108,0.8323529411764677,108,0
109,0.8352941176470573,109,0
110,0.85,110,0
111,0.85,111,0
112,0.85,112,0
113,0.85,113,0
114,0.85,114,0
115,0.85,115,0
116,0.85,116,0
117,0.85,117,0
118,0.85,118,0
119,0.85,119,0
120,0.85,120,0
121,0.85,121,0
122,0.85,122,0
123,0.85,123,0
124,0.85,124,0
125,0.85,125,0
126,0.85,126,0
127,0.8343137254901959,127,0
128,0.8343137254901959,128,0
129,0.8343137254901959,129,0
130,0.8343137254901959,130,0
131,0.8343137254901959,131,0
132,0.8343137254901959,132,0
133,0.8343137254901959,133,0
134,0.8343137254901959,134,0
135,0.8343137254901959,135,0
136,0.8323529411764733,136,0
137,0.8333333333333318,137,0
138,0.8343137254901959,138,0
139,0.8352941176470572,139,0
140,0.8343137254901959,140,0
141,0.8343137254901959,141,0
142,0.8303921568627415,142,0
143,0.8323529411764697,143,0
144,0.8323529411764697,144,0
145,0.8343137254901959,0,1
146,0.8343137254901959,1,1
147,0.8352941176470593,2,1
148,0.8343137254901959,3,1
149,0.8352941176470586,4,1
150,0.85,5,1
151,0.85,6,1
152,0.85,7,1
153,0.85,8,1
154,0.85,9,1
155,0.85,10,1
156,0.85,11,1
157,0.85,12,1
158,0.85,13,1
159,0.85,14,1
160,0.85,15,1
161,0.85,16,1
162,0.85,17,1
163,0.85,18,1
164,0.85,19,1
165,0.85,20,1
166,0.85,21,1
167,0.85,22,1
168,0.85,23,1
169,0.85,24,1
170,0.85,25,1
171,0.85,26,1
172,0.85,27,1
173,0.85,28,1
174,0.85,29,1
175,0.85,30,1
176,0.85,31,1
177,0.85,32,1
178,0.85,33,1
179,0.85,34,1
180,0.85,35,1
181,0.85,36,1
182,0.85,37,1
183,0.85,38,1
184,0.85,39,1
185,0.85,40,1
186,0.85,41,1
187,0.85,42,1
188,0.85,43,1
189,0.85,44,1
190,0.85,45,1
191,0.85,46,1
192,0.85,47,1
193,0.85,48,1
194,0.85,49,1
195,0.85,50,1
196,0.85,51,1
197,0.85,52,1
198,0.85,53,1
199,0.85,54,1
200,0.85,55,1
201,0.85,56,1
202,0.85,57,1
203,0.85,58,1
204,0.85,59,1
205,0.85,60,1
206,0.85,61,1
207,0.85,62,1
208,0.85,63,1
209,0.85,64,1
210,0.85,65,1
211,0.85,66,1
212,0.85,67,1
213,0.85,68,1
214,0.85,69,1
215,0.85,70,1
216,0.85,71,1
217,0.85,72,1
218,0.85,73,1
219,0.85,74,1
220,0.85,75,1
221,0.85,76,1
222,0.85,77,1
223,0.85,78,1
224,0.85,79,1
225,0.85,80,1
226,0.85,81,1
227,0.85,82,1
228,0.85,83,1
229,0.85,84,1
230,0.85,85,1
231,0.85,86,1
232,0.85,87,1
233,0.85,88,1
234,0.85,89,1
235,0.85,90,1
236,0.85,91,1
237,0.85,92,1
238,0.85,93,1
239,0.85,94,1
240,0.85,95,1
241,0.85,96,1
242,0.85,97,1
243,0.85,98,1
244,0.85,99,1
245,0.85,100,1
246,0.85,101,1
247,0.85,102,1
248,0.85,103,1
249,0.85,104,1
250,0.85,105,1
251,0.85,106,1
252,0.85,107,1
253,0.85,108,1
254,0.8441176470588206,109,1
255,0.85,110,1
256,0.85,111,1
257,0.85,112,1
258,0.85,113,1
259,0.85,114,1
260,0.85,115,1
261,0.85,116,1
262,0.85,117,1
263,0.85,118,1
264,0.85,119,1
265,0.85,120,1
266,0.85,121,1
267,0.85,122,1
268,0.85,123,1
269,0.85,124,1
270,0.85,125,1
271,0.85,126,1
272,0.8303921568627486,127,1
273,0.8343137254901959,128,1
274,0.8343137254901959,129,1
275,0.8343137254901959,130,1
276,0.8343137254901959,131,1
277,0.8343137254901959,132,1
278,0.8343137254901959,133,1
279,0.8362745098039205,134,1
280,0.8343137254901959,135,1
281,0.8343137254901959,136,1
282,0.8323529411764676,137,1
283,0.8343137254901959,138,1
284,0.8323529411764675,139,1
285,0.8343137254901959,140,1
286,0.8323529411764704,141,1
287,0.8343137254901959,142,1
288,0.8343137254901959,143,1
289,0.8333333333333307,144,1
290,0.831372549019607,0,2
291,0.8343137254901959,1,2
292,0.8294117647058833,2,2
293,0.8343137254901959,3,2
294,0.8343137254901959,4,2
295,0.85,5,2
296,0.85,6,2
297,0.85,7,2
298,0.85,8,2
299,0.85,9,2
300,0.85,10,2
301,0.85,11,2
302,0.85,12,2
303,0.85,13,2
304,0.85,14,2
305,0.85,15,2
306,0.85,16,2
307,0.85,17,2
308,0.85,18,2
309,0.85,19,2
310,0.85,20,2
311,0.85,21,2
312,0.85,22,2
313,0.85,23,2
314,0.85,24,2
315,0.85,25,2
316,0.85,26,2
317,0.85,27,2
318,0.85,28,2
319,0.848039215686275,29,2
320,0.85,30,2
321,0.85,31,2
322,0.85,32,2
323,0.85,33,2
324,0.85,34,2
325,0.85,35,2
326,0.85,36,2
327,0.85,37,2
328,0.85,38,2
329,0.85,39,2
330,0.85,40,2
331,0.85,41,2
332,0.85,42,2
333,0.85,43,2
334,0.85,44,2
335,0.85,45,2
336,0.85,46,2
337,0.85,47,2
338,0.85,48,2
339,0.85,49,2
340,0.85,50,2
341,0.85,51,2
342,0.85,52,2
343,0.85,53,2
344,0.85,54,2
345,0.85,55,2
346,0.85,56,2
347,0.85,57,2
348,0.85,58,2
349,0.85,59,2
350,0.85,60,2
351,0.85,61,2
352,0.85,62,2
